,cust_id,activated_date,last_payment_date,cash_advance,credit_limit,cashad_as_prc_of_creditlim
2634,12709,2020-01,2020-05-08,2431.292076,8000.0,0.3039115095
2635,12710,2020-01,2020-05-26,0.0,2000.0,0.0
2636,12712,2020-01,2020-10-20,0.0,3000.0,0.0
2637,12713,2020-01,2020-08-22,0.0,9000.0,0.0
2638,12714,2020-01,2020-04-26,78.763096,1500.0,0.05250873066666667
2639,12715,2020-01,2020-10-16,0.0,4000.0,0.0
2640,12716,2020-01,2020-05-06,2260.73569,9000.0,0.25119285444444445
2641,12717,2020-01,2020-08-13,611.974158,3500.0,0.17484975942857142
2642,12718,2020-01,2020-08-28,0.0,9000.0,0.0
2643,12719,2020-01,2020-07-15,4200.991254,9000.0,0.46677680599999993
2644,12720,2020-01,2020-05-06,2144.180453,7500.0,0.2858907270666667
2645,12721,2020-01,2020-08-27,0.0,1500.0,0.0
2646,12722,2020-01,2020-10-27,6171.934509,12000.0,0.5143278757499999
2647,12723,2020-01,2020-08-09,0.0,7500.0,0.0
2648,12724,2020-01,2020-05-16,0.0,1000.0,0.0
2649,12725,2020-01,2020-05-24,689.185829,2300.0,0.29964601260869567
2650,12726,2020-01,2020-10-09,3325.302419,6500.0,0.5115849875384616
2651,12727,2020-01,2020-08-25,437.399211,10500.0,0.04165706771428571
2652,12728,2020-01,2020-07-24,456.396077,1950.0,0.23404927025641026
2653,12729,2020-01,2020-05-31,1846.252071,6500.0,0.28403878015384615
2654,12730,2020-01,2020-08-19,0.0,1200.0,0.0
2655,12731,2020-01,2020-11-03,0.0,1200.0,0.0
2656,12732,2020-01,2020-10-09,0.0,8500.0,0.0
2657,12733,2020-01,2020-05-30,0.0,7000.0,0.0
2658,12734,2020-01,2020-05-09,3860.699586,8500.0,0.45419995129411767
2659,12735,2020-01,2020-10-29,0.0,3000.0,0.0
2660,12736,2020-01,2020-09-21,0.0,6000.0,0.0
2661,12737,2020-01,2020-09-03,2909.753084,14000.0,0.207839506
2662,12738,2020-01,2020-05-24,2119.702403,1200.0,1.7664186691666666
2663,12739,2020-01,2020-09-14,0.0,7500.0,0.0
2664,12740,2020-01,2020-05-27,0.0,1000.0,0.0
2665,12741,2020-01,2020-08-01,315.120089,3000.0,0.10504002966666667
2666,12742,2020-01,2020-08-11,0.0,3500.0,0.0
2667,12743,2020-01,2020-05-09,0.0,2500.0,0.0
2668,12744,2020-01,2020-08-12,1321.906162,3000.0,0.44063538733333335
2669,12745,2020-01,2020-07-29,0.0,7227.272727,0.0
2670,12746,2020-01,2020-06-04,3603.787202,13550.0,0.2659621551291513
2671,12747,2020-01,2020-07-14,1906.43522,8000.0,0.2383044025
2672,12748,2020-01,2020-05-09,0.0,9200.0,0.0
2673,12749,2020-01,2020-11-07,0.0,14500.0,0.0
2674,12750,2020-01,2020-07-03,2404.829712,9000.0,0.26720330133333337
2675,12751,2020-01,2020-08-31,737.622804,6100.0,0.12092177114754098
2676,12752,2020-01,2020-07-01,0.0,13500.0,0.0
2677,12753,2020-01,2020-07-22,2676.476175,3000.0,0.8921587249999999
2678,12754,2020-01,2020-11-07,4212.521736,7000.0,0.6017888194285714
2679,12755,2020-01,2020-08-07,7894.578816,9000.0,0.877175424
2680,12756,2020-01,2020-09-03,0.0,2000.0,0.0
2681,12757,2020-01,2020-11-05,6394.923585,7000.0,0.913560512142857
2682,12758,2020-01,2020-10-11,8223.638112,7000.0,1.1748054445714287
2683,12759,2020-01,2020-05-03,9798.167329,10000.0,0.9798167329
2684,12760,2020-01,2020-10-11,0.0,2500.0,0.0
2685,12761,2020-01,2020-07-25,2480.749691,4500.0,0.5512777091111111
2686,12762,2020-01,2020-09-28,5352.991545,5000.0,1.070598309
2687,12763,2020-01,2020-08-13,0.0,6500.0,0.0
2688,12764,2020-01,2020-09-02,0.0,6500.0,0.0
2689,12765,2020-01,2020-08-23,0.0,6000.0,0.0
2690,12766,2020-01,2020-08-28,0.0,1900.0,0.0
2691,12767,2020-01,2020-10-23,4320.771337,4000.0,1.08019283425
2692,12768,2020-01,2020-06-13,198.295367,1800.0,0.11016409277777778
2693,12769,2020-01,2020-06-09,2992.621714,6000.0,0.49877028566666665
2694,12770,2020-01,2020-10-02,5423.546535,6000.0,0.9039244225
2695,12771,2020-01,2020-04-27,59.670168,1600.0,0.037293855
2696,12772,2020-01,2020-09-21,1620.674351,3000.0,0.5402247836666666
2697,12773,2020-01,2020-06-21,11834.20581,13500.0,0.8766078377777777
2698,12774,2020-01,2020-04-26,1248.153277,9500.0,0.1313845554736842
2699,12775,2020-01,2020-06-04,0.0,4000.0,0.0
2700,12776,2020-01,2020-06-01,5203.612362,6000.0,0.867268727
2701,12777,2020-01,2020-04-28,0.0,1500.0,0.0
2702,12778,2020-01,2020-04-29,0.0,7000.0,0.0
2703,12779,2020-01,2020-08-16,0.0,1500.0,0.0
2704,12780,2020-01,2020-10-12,0.0,5500.0,0.0
2705,12781,2020-01,2020-08-11,0.0,7500.0,0.0
2706,12782,2020-01,2020-07-22,0.0,1200.0,0.0
2707,12783,2020-01,2020-05-27,965.180677,6500.0,0.14848933492307692
2708,12784,2020-01,2020-09-12,0.0,2800.0,0.0
2709,12786,2020-01,2020-11-05,1563.518213,3000.0,0.5211727376666667
2710,12787,2020-01,2020-05-03,109.211535,8000.0,0.013651441875
2711,12788,2020-01,2020-10-25,1668.403386,3000.0,0.5561344619999999
2712,12789,2020-01,2020-08-13,0.0,2500.0,0.0
2713,12790,2020-01,2020-06-15,0.0,5000.0,0.0
2714,12791,2020-01,2020-11-04,58.981572,6000.0,0.009830262
2715,12792,2020-01,2020-10-21,0.0,6500.0,0.0
2716,12793,2020-01,2020-05-21,1055.502083,6000.0,0.17591701383333336
2717,12794,2020-01,2020-05-17,2052.878473,2500.0,0.8211513892000001
2718,12795,2020-01,2020-09-10,0.0,7500.0,0.0
2719,12796,2020-01,2020-08-12,0.0,8000.0,0.0
2720,12797,2020-01,2020-10-06,0.0,2700.0,0.0
2721,12798,2020-01,2020-11-06,866.594079,1200.0,0.7221617324999999
2722,12799,2020-01,2020-05-02,0.0,7000.0,0.0
2723,12800,2020-01,2020-10-04,1561.133958,1500.0,1.040755972
2724,12801,2020-01,2020-09-11,418.127352,6500.0,0.06432728492307692
2725,12802,2020-01,2020-07-01,0.0,3500.0,0.0
2726,12803,2020-01,2020-09-08,0.0,4500.0,0.0
2727,12804,2020-01,2020-04-26,4510.237702,10000.0,0.45102377020000006
2728,12805,2020-01,2020-07-15,2918.216386,6500.0,0.4489563670769231
2729,12806,2020-01,2020-09-23,0.0,6000.0,0.0
2730,12807,2020-01,2020-10-24,1898.318709,7100.0,0.2673688322535211
2731,12808,2020-01,2020-06-02,2025.02275,3000.0,0.6750075833333333
2732,12809,2020-01,2020-08-17,0.0,2000.0,0.0
2733,12810,2020-01,2020-10-30,19.395458,1800.0,0.010775254444444445
2734,12811,2020-01,2020-07-12,0.0,2000.0,0.0
2735,12812,2020-01,2020-10-21,0.0,1500.0,0.0
2736,12813,2020-01,2020-07-24,0.0,1500.0,0.0
2737,12814,2020-01,2020-08-28,57.645727,1200.0,0.04803810583333334
2738,12815,2020-01,2020-05-20,1172.9748725,15000.0,0.07819832483333333
2739,12816,2020-01,2020-10-24,385.950518,10000.0,0.0385950518
2740,12818,2020-01,2020-09-16,1795.200197,1950.0,0.9206154856410256
2741,12819,2020-01,2020-05-05,0.0,5500.0,0.0
2742,12820,2020-01,2020-06-27,2121.504999,7500.0,0.2828673332
2743,12821,2020-01,2020-11-06,4516.162598,10000.0,0.4516162598
2744,12822,2020-01,2020-08-07,0.0,3000.0,0.0
2745,12823,2020-01,2020-10-29,1304.049707,1800.0,0.7244720594444444
2746,12824,2020-01,2020-09-07,780.459161,7500.0,0.10406122146666666
2747,12825,2020-01,2020-10-18,4776.10477,8000.0,0.59701309625
2748,12826,2020-01,2020-08-03,0.0,8000.0,0.0
2749,12827,2020-01,2020-09-05,92.971171,4000.0,0.023242792749999998
2750,12828,2020-01,2020-05-05,0.0,1000.0,0.0
2751,12829,2020-01,2020-06-03,0.0,2500.0,0.0
2752,12830,2020-01,2020-09-27,0.0,6000.0,0.0
2753,12831,2020-01,2020-06-25,0.0,10000.0,0.0
2754,12832,2020-01,2020-06-21,1027.967584,5000.0,0.2055935168
2755,12833,2020-01,2020-06-30,367.672276,1500.0,0.24511485066666666
2756,12834,2020-01,2020-06-04,2578.596448,7500.0,0.3438128597333333
2757,12835,2020-01,2020-10-22,2037.648071,12500.0,0.16301184568000002
2758,12836,2020-01,2020-07-02,0.0,10500.0,0.0
2759,12837,2020-01,2020-04-28,0.0,4500.0,0.0
2760,12838,2020-01,2020-06-02,0.0,10000.0,0.0
2761,12839,2020-01,2020-07-06,0.0,8500.0,0.0
2762,12840,2020-01,2020-09-09,1384.954139,9500.0,0.1457846462105263
2763,12841,2020-01,2020-09-12,1825.201472,2000.0,0.912600736
2764,12842,2020-01,2020-09-12,1563.646228,1500.0,1.0424308186666666
2765,12843,2020-01,2020-05-01,0.0,2500.0,0.0
2766,12844,2020-01,2020-07-22,0.0,4000.0,0.0
2767,12845,2020-01,2020-06-21,2496.787814,12000.0,0.20806565116666664
2768,12846,2020-01,2020-07-09,0.0,1000.0,0.0
2769,12847,2020-01,2020-10-28,0.0,4000.0,0.0
2770,12848,2020-01,2020-08-28,1478.624512,1500.0,0.9857496746666667
2771,12849,2020-01,2020-08-14,1362.13765,1700.0,0.8012574411764706
2772,12850,2020-01,2020-05-17,1172.9748725,3000.0,0.39099162416666666
2773,12851,2020-01,2020-10-13,0.0,2500.0,0.0
2774,12852,2020-01,2020-06-21,0.0,1600.0,0.0
2775,12853,2020-01,2020-07-25,0.0,2000.0,0.0
2776,12854,2020-01,2020-05-18,0.0,1500.0,0.0
2777,12855,2020-01,2020-10-04,0.0,5000.0,0.0
2778,12857,2020-01,2020-07-09,0.0,5000.0,0.0
2779,12858,2020-01,2020-09-12,2373.651556,7000.0,0.3390930794285714
2780,12859,2020-01,2020-08-31,2527.237714,6500.0,0.38880580215384614
2781,12860,2020-01,2020-10-11,5171.710442,14000.0,0.3694078887142857
2782,12861,2020-01,2020-08-26,0.0,8000.0,0.0
2783,12862,2020-01,2020-08-03,487.263992,3000.0,0.16242133066666667
2784,12863,2020-01,2020-07-15,0.0,11500.0,0.0
2785,12864,2020-01,2020-05-24,0.0,1200.0,0.0
2786,12865,2020-01,2020-09-20,432.820851,1800.0,0.24045602833333335
